Codigo;Nombre;Direccion_Fisica;Fk_Id_Municipio_CT
2039;PEMEX;;1973
2040;PEMEX;;1980
2068;PEMEX SAN RAFAEL;;976
2070;PEMEX;;2208
2071;PEMEX;;2283
2075;PEMEX;;992
2107;PEMEX TLAQUEPAQUE;;616
3000;PEMEX EXPLORACION Y PRODUCCION VILLAHERMOSA;;1972
3001;PEMEX EXPLORACION Y PRODUCCION CIUDAD DEL CARMEN;;216
3002;PEMEX EXPLORACION Y PRODUCCION;;233
3003;PEMEX EXPLORACION Y PRODUCCION;;2225
3004;PEMEX EXPLORACION Y PRODUCCION DOS BOCAS;;1982
3005;PEMEX EXPLORACION Y PRODUCCION;;1970
3008;ACTIVO DE EXPLORACION MARINA SUR;;
3009;ACTIVO DE EXPLORACION TERRESTRE SUR;;
3014;ACTIVO DE PRODUCCION;;1980
3015;ACTIVO DE PRODUCCION SAMARIA-LUNA;;1974
3018;ACTIVO DE PRODUCCION;;2077
3020;ACTIVO DE PRODUCCION;;2288
3021;PEMEX EXPLORACION Y PRODUCCION;;1973
3022;PEMEX EXPLORACION Y PRODUCCION;;2077
3023;PEMEX EXPLORACION Y PRODUCCION;;2083
3025;PEMEX EXPLORACION Y PRODUCCION;;172
3026;PEMEX EXPLORACION Y PRODUCCION;;1974
3027;PEMEX EXPLORACION Y PRODUCCION;;1980
3028;PEMEX EXPLORACION Y PRODUCCION;;2048
3029;PEMEX EXPLORACION Y PRODUCCION;;2123
3030;PEMEX EXPLORACION Y PRODUCCION;;2114
3031;PEMEX EXPLORACION Y PRODUCCION;;2288
4000;PEMEX TRANSFORMACION INDUSTRIAL OFICINAS CENTRALES;;233
4007;PEMEX TRANSFORMACION INDUSTRIAL VILLAHERMOSA;;1972
4013;PEMEX TRANSFORMACION INDUSTRIAL;;2138
4016;PEMEX TRANSFORMACION INDUSTRIAL;;960
4019;PEMEX TRANSFORMACION INDUSTRIAL LA VENTA;;1976
4024;PEMEX TRANSFORMACION INDUSTRIAL;;2054
4025;PEMEX TRANSFORMACION INDUSTRIAL BURGOS;;2077
4026;PEMEX TRANSFORMACION INDUSTRIAL;;1085
4027;PEMEX TRANSFORMACION INDUSTRIAL CIUDAD PEMEX;;1980
4028;PEMEX TRANSFORMACION INDUSTRIAL NUEVO PEMEX;;1972
4029;PEMEX TRANSFORMACION INDUSTRIAL CACTUS;;172
4033;PEMEX TRANSFORMACION INDUSTRIAL;;432
4034;PEMEX TRANSFORMACION INDUSTRIAL;;527
4040;COMPLEJO PROCESADOR LA VENTA;;1976
4075;PEMEX TRANSFORMACION INDUSTRIAL PAJARITOS;;2138
4103;PEMEX TRANSFORMACION INDUSTRIAL;;2147
4123;COMPLEJO PROCESADOR DE GAS;;2138
4128;REFINERIA OLMECA DOS BOCAS;;1982
5000;PEMEX LOGISTICA;;229
5004;PEMEX LOGISTICA;;2138
5005;PEMEX LOGISTICA;;2225
5009;PEMEX LOGISTICA BURGOS;;2077
5011;PEMEX LOGISTICA;;172
5013;PEMEX LOGISTICA ATASTA;;216
5016;PEMEX LOGISTICA;;992
5020;PEMEX LOGISTICA;;432
5022;PEMEX LOGISTICA;;1970
5048;PEMEX LOGISTICA;;527
5097;PEMEX LOGISTICA;;407
5118;PEMEX LOGISTICA CIUDAD PEMEX;;1980
