Fk_Id_Subdireciones;Clave;Nombre
19;GAPF;GERENCIA DE ADMINISTRACION DE LA PRODUCCION DE FERTILIZANTES
20;GCPGCP;GERENCIA DE COMPLEJO PROCESADOR DE GAS CIUDAD PEMEX
20;GCPGNP;GERENCIA DE COMPLEJO PROCESADOR DE GAS NUEVO PEMEX
20;GCPGC;GERENCIA DE COMPLEJO PROCESADOR DE GAS CACTUS
20;GCPGB;GERENCIA DE COMPLEJO PROCESADOR DE GAS BURGOS
20;GAP;GERENCIA DE ADMINISTRACION DE LA PRODUCCION
20;GCAPGD;GERENCIA DE CONFIABILIDAD DE LOS ACTIVOS DE PROCESOS DE GAS Y DERIVADOS
20;GOPMO;GERENCIA DE INGENIERIA DE PROCESOS Y MEJORA OPERATIVA
20;GSPGD;GERENCIA DE SEGURIDAD DE LOS PROCESOS DE GAS Y DERIVADOS
21;GPO;GERENCIA DE PROGRAMACION OPERATIVA
22;GOST;GERENCIA OPERATIVA DE SERVICIOS CON TERCEROS
22;GPCEE;GERENCIA DE PROYECTOS DE COGENERACION Y EFICIENCIA ENERGETICA
23;GAD;GERENCIA DE APROVECHAMIENTO Y DESARROLLO
23;GPEAEC;GERENCIA DE PROYECTOS DE ENERGIAS ALTERNATIVAS Y ECONOMIA CIRCULAR
24;GADPG;GERENCIA DE APROVECHAMIENTO Y DESARROLLO DE PROYECTOS DE GEOENERGIA
24;GIOPG;GERENCIA DE IMPLEMENTACION Y OPERACION DE PROYECTOS DE GEOENERGIA
25;GCTLP;GERENCIA DE COORDINACION DE TRATAMIENTO Y LOGISTICA PRIMARIA
26;GOTLPN;GERENCIA DE OPERACIONES DE TRATAMIENTO Y LOGISTICA PRIMARIA NORTE
26;GOTLPS;GERENCIA DE OPERACIONES DE TRATAMIENTO Y LOGISTICA PRIMARIA SUR
26;GOTLPM;GERENCIA DE OPERACIONES DE TRATAMIENTO Y LOGISTICA PRIMARIA MARINAS
27;GCL;GERENCIA DE COORDINACION LOGISTICA
27;GTT;GERENCIA DE TRANSPORTE TERRESTRE
27;GTMSD;GERENCIA DE TRANSPORTE MANTENIMIENTO Y SERVICIOS DE DUCTOS
27;GTM;GERENCIA DE TRANSPORTE MARITIMO
28;GCA;GERENCIA DE COORDINACION DE ALMACENAMIENTO
28;GAC;GERENCIA DE ALMACENAMIENTO CENTRO
28;GAG;GERENCIA DE ALMACENAMIENTO GOLFO
28;GAN;GERENCIA DE ALMACENAMIENTO NORTE
28;GAP;GERENCIA DE ALMACENAMIENTO PACIFICO
28;GASP;GERENCIA DE ALMACENAMIENTO Y SERVICIOS PORTUARIOS
28;GOTGP;GERENCIA DE OPERACION DE TERMINALES DE GAS LP Y PETROQUIMICOS
29;GCIE;GERENCIA DE COORDINACION E INTELIGENCIA ESTRATEGICA
29;GESSM;GERENCIA DE ESTRATEGIA Y SISTEMAS DE SEGURIDAD Y MONITOREO
29;GSF;GERENCIA DE SEGURIDAD FISICA
29;GGTSECMI;GERENCIA DE GESTION TECNICA DE SALVAGUARDIA ESTRATEGICA Y COMBATE AL MERCADO ILICITO
29;GSSTPA;GERENCIA DE SEGURIDAD SALUD EN EL TRABAJO Y PROTECCION AMBIENTAL
30;GCRSO;GERENCIA DE CUMPLIMIENTO REGULATORIO Y SOPORTE OPERATIVO
30;GM;GERENCIA DE MEDICION
30;GC;GERENCIA DE CALIDAD
30;GBT;GERENCIA DE BALANCES Y TRAZABILIDAD
31;GEICDCMC;GERENCIA DE ESTRATEGIA INTELIGENCIA COMERCIAL DESARROLLO DE CLIENTES Y MODELOS DE NEGOCIO
31;GP;GERENCIA DE PRECIOS
31;GSCSC;GERENCIA DE SOPORTE COMERCIAL Y SERVICIOS AL CLIENTE
32;GCH;GERENCIA DE COMERCIALIZACION DE HIDROCARBUROS
32;GOCCT;GERENCIA DE OPERACION COMERCIAL DE COMBUSTIBLES DE TRANSPORTE
32;GCCT;GERENCIA DE COMERCIALIZACION DE COMBUSTIBLES DE TRANSPORTE
33;GCGNE;GERENCIA DE COMERCIALIZACION DE GAS NATURAL Y ETANO
33;GCGLPR;GERENCIA DE COMERCIALIZACION DE GAS LICUADO DE PETROLEO Y RESIDUALES
33;GCPPF;GERENCIA DE COMERCIALIZACION DE PRODUCTOS PETROQUIMICOS Y FERTILIZANTES
34;GSPA;GERENCIA DE SEGUIMIENTO PRESUPUESTAL A
34;GFOPA;GERENCIA DE FORMULACION Y OPERACION PRESUPUESTAL A
